,R5_Sugars,R6_Sugars,R7_Sugars,R7-5_Sugars,R8_Sugars,R5_RFOs,R6_RFOs,R7_RFOs,R7-5_RFOs,R8_RFOs,R5_Oil,R6_Oil,R7_Oil,R7-5_Oil,R8_Oil,R5_Protein,R6_Protein,R7_Protein,R7-5_Protein,R8_Protein
Will82_1_1,12.87340046,1.587065492,1.194751698,1.513646782,1.407563029,0.037491738,0.025046301,3.389932549,2.942122134,1.835859392,5.996257532,19.9294145,21.82010859,24.43120991,18.16107221,31.88249914,37.22331749,41.4956729,40.56897524,34.19949105
Will82_1_2,14.48037121,1.17225339,1.705332717,1.348755987,0.436107264,0.057864442,0.015746106,3.695287311,1.838889524,0.78786753,9.809524729,21.3731367,38.74308237,19.51424354,18.23646468,32.54764051,29.92754303,41.39804007,42.78488592,37.73263136
Will82_1_3,11.26642971,1.337372946,0.500904545,1.006386158,1.246968391,0.017119034,0.016537038,0.700101833,1.641380738,5.25312199,16.25719396,21.5014564,15.95723086,25.6522816,22.02039243,31.21735777,40.96991501,47.12263815,41.08563817,39.06430615
Will82_2_1,7.697000705,1.587065492,1.134695006,0.921333937,1.927511868,0.021582633,0.025046301,0.977067806,2.285722779,4.208177026,6.717196767,19.9294145,25.89587907,26.13346176,20.30825541,38.12763717,37.22331749,36.36489369,50.71025213,37.85989386
Will82_2_2,10.44354695,1.17225339,0.96419304,0.835442619,1.532260671,0.021776167,0.015746106,0.832457145,1.641028434,5.778168868,7.966451039,21.3731367,25.64706616,24.9234463,21.97730542,38.76581186,29.92754303,32.40788636,37.1483086,41.52641419
Will82_2_3,9.070273829,1.337372946,0.709015072,0.722364149,0.889008573,0.0216794,0.016537038,0.665562646,1.099815679,2.535717647,8.013658454,21.5014564,23.72834101,20.38481626,19.160881,36.96850389,40.96991501,34.18835534,40.31724201,43.14310403
FN300012_1_1,8.011552285,0.13170621,0.454677586,2.597012893,1.828047762,0.033259449,0.080238375,0.442064352,5.057586133,4.326538809,11.53749816,20.04091809,26.78134987,25.78944881,24.17093885,41.51814492,41.74090933,40.50529409,53.71124512,46.06993825
FN300012_1_2,1.377145545,1.650127907,0.773274539,1.123602328,1.564648751,0.00337727,0.010197719,0.129907258,1.720207322,3.509741937,8.342409571,23.39960857,24.08925271,27.56986748,23.13847114,39.01457193,44.63432043,36.72417105,61.65194883,45.40143313
FN300012_1_3,1.961990603,2.099637678,0.468573136,0.761905138,1.863816944,0.008643321,0.010850724,0.920113536,1.291992436,4.200842763,3.808539208,21.27998036,23.31100177,25.61407715,21.84869549,35.19076935,44.44774046,34.25917027,45.70960837,46.05890355
FN300012_2_1,1.685597431,1.059323384,0.696328018,0.978715388,3.159523531,0.050080459,0.041203912,0.680457865,1.69913117,6.015812309,2.757544329,22.45569812,23.65442787,27.44066648,34.52689837,41.02259857,46.08971911,54.32092325,37.82731108,42.53057978
FN300012_2_2,13.56718177,1.064212661,1.328722416,0.317899908,2.143447697,0.023546777,0.051150312,1.332803349,2.552527589,5.568834402,7.896148981,24.17748426,25.75605834,32.58982875,25.57521351,35.41687784,31.64529202,40.17135625,48.76655623,41.66408253
FN300012_2_3,6.774455279,1.082844109,0.599550861,1.007545185,1.754086329,0.081653244,0.055733377,0.539804449,1.638979324,4.095925526,5.326846655,24.09193257,23.22613261,31.86853095,23.50157857,34.09516909,32.22760598,44.33118103,49.18169439,42.56200087
FN301952_1_1,2.689124452,0.491288387,0.676801555,0.568699055,2.028947135,0.008211684,0.046981406,0.696069053,0.892608729,4.818199677,15.52775042,23.25643213,23.74701351,25.34533303,27.76260475,36.87541791,41.19455757,41.10928489,47.65038022,46.72273799
FN301952_1_2,3.634596231,2.053256303,0.802962671,1.428186707,2.208700286,0.036031354,0.123037489,1.081133436,2.076649547,3.778055762,3.525363341,23.58174718,24.9382258,20.06527064,24.09641105,35.42217187,44.49797866,42.628643,50.78764965,40.26935737
FN301952_1_3,11.23273275,1.648043195,0.762851531,1.806897748,3.358504669,0.008026587,0.122294539,0.201087597,1.905924222,6.655929757,14.82636399,21.61477589,20.07407328,25.15979131,29.84107048,34.09385245,45.094065,54.73259308,44.69848294,43.34666744
FN301952_2_1,9.5433218,1.304725769,0.507017421,1.14151126,2.441676979,0.006141799,0.045473338,0.972947932,1.559494275,6.461369868,17.42608136,21.78945234,19.23814477,22.51242358,23.75277734,37.08709337,38.00308298,46.53440636,42.19810884,42.42977917
FN301952_2_2,1.984915518,2.411534614,0.569371531,3.016423757,1.48665506,0.002627504,0.079204739,0.321996431,3.524895579,3.705295672,12.33862708,21.82747541,18.9061643,24.89837966,23.51375845,44.18702178,38.7631109,49.33476053,44.45381676,44.687812
FN301952_2_3,2.255547864,1.701138816,0.550108805,1.164030962,1.777414754,0.020132825,0.0435128,1.167003617,1.853990877,3.77234272,10.7904864,24.65171584,17.51787459,18.3448746,21.01750874,45.44604313,38.03974757,46.00848902,47.27661443,47.16986242
